Rótulos de Linha;Soma de cadeiras_colig;Soma de votos_colig;Soma de QE
SP;64; 21,102,209 ;6689688
Partido Social Liberal (Vagas: 10);15; 4,409,549 ;278737
PSDB-PSD-DEM-PP (Vagas: 17);14; 4,137,965 ;278737
SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES (Vagas: 9);7; 2,156,813 ;278737
Coligação PSB PTB PPS PSC (Vagas: 7);6; 1,746,226 ;278737
Partido da República (Vagas: 7);6; 1,734,561 ;278737
Partido Republicano Brasileiro (Vagas: 6);5; 1,591,587 ;278737
Partido Novo (Vagas: 3);3; 899,904 ;278737
SEM MEDO DE MUDAR SÃO PAULO (Vagas: 3);3; 922,692 ;278737
UNIDOS POR SÃO PAULO (Vagas: 3);2; 754,593 ;278737
Movimento Democrático Brasileiro (Vagas: 2);1; 527,821 ;278737
Partido Verde (Vagas: 1);1; 414,051 ;278737
Partido Democrático Trabalhista (Vagas: 1);1; 451,442 ;278737
Partido Socialista dos Trabalhadores Unificado (Vagas: 0);0; 11,682 ;278737
Partido Pátria Livre (Vagas: 0);0; 50,027 ;278737
Partido Trabalhista Cristão (Vagas: 0);0; 14,189 ;278737
Partido Renovador Trabalhista Brasileiro (Vagas: 0);0; 77,350 ;278737
Patriota (Vagas: 0);0; 229,241 ;278737
AVANTE (Vagas: 0);0; 141,467 ;278737
Partido da Causa Operária (Vagas: 0);0; -   ;278737
Partido Republicano da Ordem Social (Vagas: 0);0; 200,055 ;278737
Solidariedade (Vagas: 1);0; 255,231 ;278737
Partido Republicano Progressista (Vagas: 0);0; 131,974 ;278737
Coligação Mobilização Sustentável por São Paulo (Vagas: 0);0; 224,482 ;278737
Democracia Cristã (Vagas: 0);0; 19,307 ;278737
Total Geral;64; 21,102,209 ;6689688
